class,gazex,gazey,fps
3.0,548.625,472.5,23.012498491183024
3.0,548.625,472.5,23.09346283235053
3.0,548.625,472.5,8.336571123049922
3.0,548.625,472.5,23.02134012470361
3.0,548.625,472.5,23.11395223242332
3.0,548.625,472.5,22.945397850050604
3.0,548.625,472.5,8.309452158735882
3.0,515.375,472.5,22.7851000374835
3.0,548.625,472.5,21.57696977179661
3.0,548.625,472.5,8.1817089442186
3.0,581.875,459.375,22.809014182545894
3.0,581.875,459.375,22.99760938699419
3.0,581.875,459.375,23.458338460161748
3.0,615.125,446.25,8.467610808846539
3.0,615.125,459.375,23.85024451268054
3.0,615.125,459.375,24.00352529801931
3.0,615.125,459.375,24.23010577517432
3.0,598.5,446.25,8.74627830500487
3.0,598.5,459.375,23.432389550604483
3.0,598.5,459.375,23.11751931831961
3.0,598.5,459.375,8.53628574336013
3.0,598.5,446.25,23.21219298925255
3.0,581.875,459.375,22.96424210900928
3.0,615.125,459.375,23.000383860318717
3.0,581.875,459.375,8.437800376193206
3.0,581.875,459.375,22.81261183841966
3.0,581.875,459.375,23.03777833924707
3.0,581.875,459.375,22.926584492607063
3.0,581.875,459.375,8.440160500336052
3.0,615.125,459.375,22.526889054787823
3.0,615.125,459.375,22.488842182020957
3.0,598.5,472.5,8.445071749718618
3.0,598.5,472.5,22.88006022354719
3.0,598.5,472.5,22.71550272143844
1.0,598.5,485.625,22.721286254455627
3.0,598.5,472.5,8.404020974467173
1.0,598.5,485.625,23.041954853347544
3.0,631.75,472.5,22.99634848401777
3.0,648.375,472.5,22.915060889328387
3.0,648.375,472.5,8.503024700368154
3.0,665.0,472.5,22.95682634206148
3.0,681.625,459.375,23.3974886061262
3.0,665.0,459.375,22.98425084664029
3.0,681.625,459.375,8.463339285894447
3.0,714.875,433.125,23.18153128506132
3.0,731.5,406.875,23.09053874018696
3.0,631.75,472.5,12.30509976265846
3.0,631.75,459.375,22.783862328956875
3.0,631.75,472.5,22.316418990460075
3.0,648.375,472.5,22.71673301378395
1.0,598.5,485.625,8.473872101081078
3.0,665.0,459.375,22.767537169625943
3.0,648.375,472.5,22.559239259052084
3.0,681.625,446.25,22.54711220057627
3.0,714.875,406.875,8.486061935264578
3.0,714.875,406.875,23.169494053373253
3.0,714.875,406.875,23.146223421573985
3.0,714.875,406.875,12.296009216941114
3.0,698.25,433.125,0.2859092601778603
3.0,681.625,433.125,22.86783523703078
3.0,714.875,406.875,22.24693689201948
3.0,698.25,433.125,11.936423373659242
4.0,-1.0,-1.0,22.625683738091897
4.0,-1.0,-1.0,20.697791704705278
3.0,681.625,446.25,22.802690022235637
3.0,681.625,433.125,7.867260388570228
3.0,698.25,433.125,22.307754494202744
3.0,698.25,433.125,22.66456284448287
3.0,698.25,433.125,12.179290318833846
3.0,681.625,433.125,21.28861390410159
4.0,-1.0,-1.0,21.21378138339841
4.0,-1.0,-1.0,23.174102579686284
4.0,-1.0,-1.0,8.273262178704503
3.0,665.0,446.25,21.354839366631023
3.0,681.625,433.125,21.28299665606146
4.0,-1.0,-1.0,12.357595952989149
3.0,648.375,459.375,8.365118746559661
3.0,631.75,472.5,16.981744126256636
3.0,631.75,472.5,21.59841396534411
3.0,631.75,472.5,8.41111614680886
3.0,598.5,472.5,22.96172775299045
3.0,631.75,472.5,22.623364995118585
4.0,-1.0,-1.0,22.864469423578026
4.0,-1.0,-1.0,8.412971966815899
4.0,-1.0,-1.0,22.529430090777247
3.0,681.625,406.875,21.706951517409845
4.0,-1.0,-1.0,12.000560786703632
4.0,-1.0,-1.0,21.74228396661656
4.0,-1.0,-1.0,21.587075456646268
3.0,615.125,472.5,21.230747426072345
3.0,615.125,472.5,8.214590122837803
3.0,615.125,472.5,21.299100160468
4.0,-1.0,-1.0,21.340605776911687
