yaw,pitch,class,fps,hleft,htop,hright,hbottom
42.0,42.0,4.0,28.848840008528843,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.773240219248,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.077330905585605,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.43171865891189,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.744450612334408,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.62048871026073,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.036791443850266,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.08616752713661,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.999172235165318,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.385292408542757,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.0906819901817,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.46432715994924,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.50886398069141,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.27226768405301,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.293695053783033,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.814609237706822,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.82198932042055,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.928512451724597,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.344871396326383,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.27074318221647,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.4432167576902,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.487514060742406,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.54317752796326,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.58255926309924,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.48502657256137,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.735588714870993,-1.0,-1.0,-1.0,-1.0
