yaw,pitch,class,fps,hleft,htop,hright,hbottom
42.0,42.0,4.0,29.249797762838572,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.646333705593804,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.311119807681557,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.001037157910748,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.442390037765517,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.61096246302428,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.253061793834565,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.853628753438965,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.547795751003257,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.594142747729677,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.70231019236963,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.572734363041306,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.565382148895235,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.665721074757816,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.672000117004394,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.467910767599136,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.485626857969372,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.459502835854497,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.56916921148338,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.33346388133187,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.488507668823143,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.602178623804345,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.376778006315362,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.663479182658918,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.531118519704755,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.557810837983943,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.78523824902381,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.6001692590539,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.324288761161117,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.82955571833951,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.64465742193574,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.919777436958306,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.737557074388135,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.829980015219725,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.645705077006806,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.05613798737361,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.673389977997722,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.841015972395148,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.16204632566033,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.436604297966117,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.829767865270824,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.090638429144338,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.724280156193526,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.010761305094448,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.848661035162504,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.351733404246385,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.5487970692874,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.40461718580212,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.647073688811787,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.345983236080208,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.514696465389243,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.951392244295043,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.801098674723615,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.400494879469512,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.359335297946956,-1.0,-1.0,-1.0,-1.0
