,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
2107,2107,-1.5637109867147407,-0.4025695556468848,1,30.711752214981328,272.0,91.0,328.37774658203125,173.76649475097656,692.0,299.0
2108,2108,-1.5668908010562954,-0.3979143500614263,1,22.052883123984586,271.0,91.0,328.0733947753906,173.22711181640625,692.0,297.0
2109,2109,-1.595288487233974,-0.4087129356494796,1,33.26885217294742,271.0,91.0,328.0276184082031,173.357421875,690.0,301.0
2110,2110,-1.570778749931702,-0.394776879981204,1,34.88828074961945,271.0,91.0,328.25030517578125,173.33770751953125,692.0,296.0
2111,2111,-1.5996293066527485,-0.429563622772037,1,22.027750643348565,271.0,91.0,328.4585876464844,173.49209594726562,686.0,309.0
2112,2112,-1.2755978362909,-0.2936121786006909,1,34.75414508845341,270.0,89.0,328.5653686523437,174.48916625976562,689.0,254.0
2113,2113,-1.3307200776914143,-0.2959557603599607,1,32.16540130983604,270.0,89.0,328.7218017578125,174.76583862304688,695.0,255.0
2114,2114,-1.353663210482447,-0.3222739172004507,1,32.14099940994812,270.0,89.0,328.739501953125,174.78858947753906,694.0,266.0
2115,2115,-1.4282281257371945,-0.3415607961309135,1,23.15516813055168,270.0,89.0,328.4254150390625,174.77711486816406,696.0,274.0
2116,2116,-1.522540646790988,-0.4176116221158704,1,22.922825522612374,271.0,90.0,328.413330078125,174.046875,688.0,305.0
2117,2117,-1.5207459425323833,-0.3642993981502281,1,23.43566276100597,270.0,89.0,328.5959167480469,174.5421142578125,697.0,283.0
2118,2118,-1.4958353994860547,-0.4109846120593171,1,34.510795155344915,270.0,90.0,329.00811767578125,174.68960571289062,688.0,302.0
2119,2119,-1.686714274824176,-0.455342755807895,1,25.14781816219587,271.0,90.0,328.3795166015625,174.70350646972656,679.0,319.0
2120,2120,-1.6996970519802577,-0.4742959406537709,1,32.90424413587511,270.0,90.0,328.4061889648437,175.24395751953125,675.0,327.0
2121,2121,-1.6959507832748433,-0.473560375560691,1,22.68331647801327,270.0,90.0,328.5206604003906,175.12527465820312,675.0,326.0
2122,2122,-1.6579221744890569,-0.4726895218842351,1,37.92626886455498,271.0,90.0,328.4415283203125,175.255615234375,677.0,326.0
2123,2123,-1.6304276993950788,-0.437700112534447,1,26.07603404435216,270.0,90.0,328.50689697265625,175.38014221191406,684.0,313.0
2124,2124,-1.3995460139550953,-0.3804325617178192,1,24.387615198999917,271.0,90.0,328.6699523925781,174.95864868164062,689.0,290.0
2125,2125,-1.4432616700906913,-0.4124719875281264,1,29.34290371551899,271.0,91.0,328.43524169921875,174.85101318359375,686.0,303.0
2126,2126,-1.338619679274862,-0.4448144810704847,1,33.048394976125564,270.0,90.0,328.4568176269531,174.95750427246094,673.0,315.0
2127,2127,-1.369140304315497,-0.4538079760716823,1,34.08229864135734,271.0,91.0,328.3609313964844,174.1609649658203,674.0,319.0
2128,2128,-1.32186000706083,-0.4411670156415122,1,26.487218348994645,270.0,91.0,328.2353515625,174.43544006347656,672.0,314.0
2129,2129,-1.3446342954387516,-0.4439329747496685,1,22.00348337005561,270.0,90.0,328.0401916503906,173.98178100585938,674.0,314.0
2130,2130,-1.3129730385032354,-0.4342595747221737,1,25.747880588585566,270.0,90.0,328.2532043457031,174.61953735351562,673.0,311.0
