yaw,pitch,class
-1.578255175217936,-0.5543316545778133,3.0
-1.5673258284203597,-0.5822082932882177,3.0
-1.5691780569585099,-0.57364969249303,3.0
-1.5793639823377905,-0.5876717682645153,3.0
-1.5971136846870595,-0.6012232634713834,3.0
-1.5543004406868366,-0.5557489889099534,3.0
-1.5912970745502175,-0.5540714637393125,3.0
-1.5828913392016006,-0.6009564147301576,3.0
-1.5513395381868866,-0.6136149520235221,3.0
-1.5637369525353688,-0.5992141747450277,3.0
-1.5119975915095276,-0.571834215577923,3.0
-1.5637273651554446,-0.6159036726643362,3.0
-1.5485444174647942,-0.5856040899941777,3.0
-1.5330912920815547,-0.5604100534498101,3.0
-1.5659311309574855,-0.5956442073037764,3.0
-1.4113090633319207,-0.5767264425003986,3.0
-1.4868223302508452,-0.5466305916536311,3.0
-1.4371065721793002,-0.5346429046388574,3.0
-1.4625109984497844,-0.5418233195699291,3.0
-1.4654840183326943,-0.5486865520151722,3.0
-1.392260271002911,-0.5557950615968118,3.0
-1.5323417453927521,-0.5546131507050347,3.0
-1.577939457470707,-0.577479850772782,3.0
-1.5928154758457262,-0.5524458702099282,3.0
-1.6218411354084452,-0.597780861446347,3.0
-1.614521303994308,-0.5845556034730136,3.0
-1.6028519978878533,-0.6012488298178482,3.0
-1.5947967345386906,-0.585311941222596,3.0
-1.6297380738308027,-0.5735575471193133,3.0
-1.5826864089557189,-0.6065668961986275,3.0
-1.6391287793085856,-0.5737218641585712,3.0
-1.6088755356413944,-0.6020102275735019,3.0
-1.5855237407810892,-0.6300168285451021,3.0
-1.55616665082071,-0.6289294598720228,3.0
-1.6144210359792663,-0.5768140605002622,3.0
-1.6744173948068442,-0.5773751885419419,3.0
-1.6212765452573485,-0.5655731238551467,3.0
-1.625748392201755,-0.576372774707636,3.0
-1.6080371725302376,-0.5732265161958164,3.0
-1.6252959211325506,-0.6368470377928284,3.0
-1.5845945638767607,-0.622784215656665,3.0
-1.6078845733997762,-0.5973771262250911,3.0
-1.6149520703006282,-0.5705918509294011,3.0
-1.590505583074246,-0.5279884640230765,3.0
-1.6112743779932834,-0.5692802440925371,3.0
-1.4944179319958601,-0.5481206302835304,3.0
-1.498263669767989,-0.5416707204394675,3.0
-1.4291728821338998,-0.5265293180618221,3.0
-1.4137353362430374,-0.5072214001587476,3.0
-1.4842322729326887,-0.5893508913318102,3.0
-1.4995988455805003,-0.565683378724276,3.0
-1.4686306763186774,-0.6113640482701872,3.0
-1.5162598476761449,-0.6280668619949462,3.0
-1.5636485355871783,-0.6417645647456597,3.0
-1.5210542034285601,-0.6053130799574181,3.0
-1.528661922556535,-0.6060627598042755,3.0
-1.476703649689089,-0.5761978050240179,3.0
-1.4852904799918314,-0.49339293619851116,3.0
-1.5176376340660975,-0.4984409580447563,3.0
-1.6004618108095072,-0.5114385157448881,3.0
-1.527734210390806,-0.5015384807086275,3.0
-1.5780301381058242,-0.500614630126479,3.0
-1.623864472046633,-0.5552096987892123,3.0
